# Wavelength (nm),Crosssection (cm^2)
311.5,2.1641255384615314e-18
312.5,1.850660424999999e-18
313.5,1.5625956500000017e-18
314.5,1.3064136250000034e-18
315.5,1.0897306250000015e-18
316.5,9.15249850000001e-19
317.5,7.7701859999999965e-19
318.5,6.713044634146336e-19
319.5,5.883871219512193e-19
320.5,5.213009268292678e-19
321.5,4.6371173170731635e-19
322.5,4.1202071428571307e-19
323.5,3.6434369047619093e-19
324.5,3.20146e-19
325.5,2.788943023255818e-19
326.5,2.412279069767444e-19
327.5,2.0650913636363566e-19
328.5,1.741826511627904e-19
329.5,1.4482360465116245e-19
330.5,1.176858181818179e-19
331.5,9.352277272727216e-20
332.5,7.217500000000035e-20
333.5,5.407788888888891e-20
334.5,3.9308955555555624e-20
335.5,2.770908695652175e-20
336.5,1.896634782608709e-20
337.5,1.2693130434782574e-20
338.5,8.47573913043475e-21
339.5,5.695297872340424e-21
340.5,3.994297872340427e-21
341.5,3.0372765957446773e-21
342.5,2.562234042553188e-21
343.5,2.4016808510638275e-21
344.5,2.435312499999999e-21
345.5,2.5928333333333357e-21
346.5,2.8307959183673425e-21
347.5,3.125693877551021e-21
348.5,3.464857142857137e-21
349.5,3.8433265306122536e-21
350.5,4.256591836734699e-21
351.5,4.7035200000000034e-21
352.5,5.183000000000004e-21
353.5,5.694882352941182e-21
354.5,6.235333333333344e-21
355.5,6.801647058823518e-21
356.5,7.396529411764705e-21
357.5,8.010725490196087e-21
358.5,8.647096153846151e-21
359.5,9.296788461538444e-21
360.5,9.961307692307699e-21
361.5,1.0633038461538458e-20
362.5,1.1309490566037738e-20
363.5,1.198957407407408e-20
364.5,1.2676333333333327e-20
365.5,1.337044444444444e-20
366.5,1.4063759259259252e-20
367.5,1.475492592592594e-20
368.5,1.5446727272727266e-20
369.5,1.6130000000000008e-20
370.5,1.6800142857142864e-20
371.5,1.7455124999999997e-20
372.5,1.8083874999999996e-20
373.5,1.8688178571428565e-20
374.5,1.9259526315789472e-20
375.5,1.9798105263157893e-20
376.5,2.029784210526316e-20
377.5,2.0755655172413808e-20
378.5,2.1170931034482755e-20
379.5,2.1537931034482764e-20
380.5,2.1855830508474573e-20
381.5,2.2112932203389827e-20
382.5,2.2312237288135592e-20
383.5,2.2447118644067797e-20
384.5,2.252020338983051e-20
385.5,2.2526583333333333e-20
386.5,2.24785e-20
387.5,2.2382393442622954e-20
388.5,2.224595e-20
389.5,2.2085885245901636e-20
390.5,2.1910475409836068e-20
391.5,2.1734403225806455e-20
392.5,2.156520967741936e-20
393.5,2.1410822580645158e-20
394.5,2.1275444444444445e-20
395.5,2.1159952380952384e-20
396.5,2.1062e-20
397.5,2.0978e-20
398.5,2.0904124999999998e-20
399.5,2.0839000000000002e-20
